source1_entity_id	candidate_entity_id	candidate_source
S1-946184931	S2-148614998	S2
S1-946184931	S2-440207111	S2
S1-946184931	S3-8200545	S3
S1-946184931	S3-137807983	S3
S1-946184931	S3-115390426	S3
S1-244940399	S2-495604525	S2
S1-244940399	S2-578484139	S2
S1-244940399	S2-21907891	S2
S1-244940399	S3-367727512	S3
S1-244940399	S3-221443476	S3
S1-244940399	S3-219206801	S3
S1-616465752	S2-973152754	S2
S1-616465752	S2-223826524	S2
S1-616465752	S2-974757357	S2
S1-616465752	S3-221443476	S3
S1-616465752	S3-995796854	S3
S1-616465752	S3-606815816	S3
S1-762904067	S2-478128946	S2
S1-762904067	S2-233626843	S2
S1-762904067	S2-258612635	S2
S1-762904067	S3-361863410	S3
S1-762904067	S3-221443476	S3
S1-762904067	S3-355846923	S3
S1-261476747	S2-440948455	S2
S1-261476747	S2-495461061	S2
S1-261476747	S2-268861424	S2
S1-261476747	S3-159233685	S3
S1-261476747	S3-426534154	S3
S1-261476747	S3-181925627	S3
S1-874436225	S2-400190057	S2
S1-874436225	S2-577684356	S2
S1-874436225	S2-918973885	S2
S1-874436225	S3-219206801	S3
S1-874436225	S3-483958914	S3
S1-874436225	S3-867263634	S3
S1-816918307	S2-416362828	S2
S1-816918307	S2-136638989	S2
S1-816918307	S2-293341063	S2
S1-816918307	S3-943890721	S3
S1-816918307	S3-312413952	S3
S1-816918307	S3-780090761	S3
S1-52153457	S2-70822028	S2
S1-52153457	S2-974757357	S2
S1-52153457	S2-682305910	S2
S1-52153457	S3-454284148	S3
S1-52153457	S3-430128111	S3
S1-52153457	S3-367901084	S3
S1-867332501	S2-146021424	S2
S1-867332501	S2-388543405	S2
S1-867332501	S2-782078221	S2
S1-867332501	S3-482581656	S3
S1-867332501	S3-604980231	S3
S1-867332501	S3-144784336	S3
S1-969300060	S2-965614954	S2
S1-969300060	S2-108012128	S2
S1-969300060	S2-560710588	S2
S1-969300060	S3-356347371	S3
S1-969300060	S3-691294985	S3
S1-969300060	S3-716865471	S3
S1-930501805	S2-550625611	S2
S1-930501805	S2-449438476	S2
S1-930501805	S2-955811648	S2
S1-930501805	S3-305215419	S3
S1-930501805	S3-521921590	S3
S1-930501805	S3-812557085	S3
S1-474452362	S2-63117139	S2
S1-474452362	S2-434748052	S2
S1-474452362	S2-227155379	S2
S1-474452362	S3-714598410	S3
S1-474452362	S3-339481146	S3
S1-474452362	S3-505888372	S3
S1-802731895	S2-884102769	S2
S1-802731895	S2-153022216	S2
S1-802731895	S2-146021424	S2
S1-802731895	S3-184174096	S3
S1-802731895	S3-74786614	S3
S1-802731895	S3-454284148	S3
S1-39733947	S2-729157829	S2
S1-39733947	S2-658886344	S2
S1-39733947	S2-153022216	S2
S1-39733947	S3-797381132	S3
S1-39733947	S3-23492958	S3
S1-39733947	S3-417315037	S3
S1-807424751	S2-965432715	S2
S1-807424751	S2-225122945	S2
S1-807424751	S2-70822028	S2
S1-807424751	S3-454284148	S3
S1-807424751	S3-180087778	S3
S1-807424751	S3-287539645	S3
S1-269499779	S2-270257041	S2
S1-269499779	S2-875724478	S2
S1-269499779	S2-583840796	S2
S1-269499779	S3-8200545	S3
S1-269499779	S3-743729368	S3
S1-269499779	S3-127741306	S3
S1-574528784	S2-566025912	S2
S1-574528784	S2-781720719	S2
S1-574528784	S2-742077842	S2
S1-574528784	S3-688013575	S3
S1-574528784	S3-389830698	S3
S1-574528784	S3-578512303	S3
S1-402621048	S2-596441431	S2
S1-402621048	S2-290349597	S2
S1-402621048	S2-714315001	S2
S1-402621048	S3-604980231	S3
S1-402621048	S3-580736465	S3
S1-402621048	S3-22088661	S3
S1-684202485	S2-412565852	S2
S1-684202485	S2-615015424	S2
S1-684202485	S2-378846408	S2
S1-684202485	S3-812557085	S3
S1-684202485	S3-788075081	S3
S1-684202485	S3-268628840	S3
S1-85238196	S2-37424835	S2
S1-85238196	S2-595491693	S2
S1-85238196	S2-119647643	S2
S1-85238196	S3-185659081	S3
S1-85238196	S3-98855106	S3
S1-85238196	S3-540353197	S3
S1-569369299	S2-504393659	S2
S1-569369299	S2-470617752	S2
S1-569369299	S2-965432715	S2
S1-569369299	S3-477050170	S3
S1-569369299	S3-73958887	S3
S1-569369299	S3-516583759	S3
S1-559615219	S2-170268811	S2
S1-559615219	S2-177873237	S2
S1-559615219	S2-495604525	S2
S1-559615219	S3-764653606	S3
S1-559615219	S3-18976400	S3
S1-559615219	S3-543902884	S3
S1-684318101	S2-61166243	S2
S1-684318101	S2-317480348	S2
S1-684318101	S2-800542765	S2
S1-684318101	S3-317441331	S3
S1-684318101	S3-837926466	S3
S1-684318101	S3-477050170	S3
S1-503487168	S2-142569598	S2
S1-503487168	S2-823489243	S2
S1-503487168	S2-575142052	S2
S1-503487168	S3-160961194	S3
S1-503487168	S3-468731115	S3
S1-503487168	S3-17552184	S3
S1-967139755	S2-647742770	S2
S1-967139755	S2-260494879	S2
S1-967139755	S2-747996032	S2
S1-967139755	S3-191484959	S3
S1-967139755	S3-776500981	S3
S1-967139755	S3-679867068	S3
S1-983819279	S2-641777383	S2
S1-983819279	S2-317480348	S2
S1-983819279	S2-905827553	S2
S1-983819279	S3-485517879	S3
S1-983819279	S3-177336223	S3
S1-983819279	S3-603130097	S3
S1-577269922	S2-268861424	S2
S1-577269922	S2-231137367	S2
S1-577269922	S2-235259222	S2
S1-577269922	S3-355846923	S3
S1-577269922	S3-485517879	S3
S1-577269922	S3-856022427	S3
S1-87832748	S2-975659148	S2
S1-87832748	S2-715460557	S2
S1-87832748	S2-729157829	S2
S1-87832748	S3-780090761	S3
S1-87832748	S3-64079929	S3
S1-87832748	S3-941638500	S3
S1-295346696	S2-550625611	S2
S1-295346696	S2-726058757	S2
S1-295346696	S2-575142052	S2
S1-295346696	S3-198548382	S3
S1-295346696	S3-213199104	S3
S1-295346696	S3-309079758	S3
S1-252468250	S2-959352705	S2
S1-252468250	S2-518383016	S2
S1-252468250	S2-729157829	S2
S1-252468250	S3-844042071	S3
S1-252468250	S3-806209375	S3
S1-252468250	S3-75604340	S3
S1-781801397	S2-872599903	S2
S1-781801397	S2-559669701	S2
S1-781801397	S2-959352705	S2
S1-781801397	S3-462677478	S3
S1-781801397	S3-431726820	S3
S1-781801397	S3-356347371	S3
S1-669434847	S2-61175409	S2
S1-669434847	S2-275110987	S2
S1-669434847	S2-595491693	S2
S1-669434847	S3-305215419	S3
S1-669434847	S3-623589664	S3
S1-669434847	S3-309079758	S3
S1-570053103	S2-576201028	S2
S1-570053103	S2-146021424	S2
S1-570053103	S2-893716684	S2
S1-570053103	S3-77632293	S3
S1-570053103	S3-222120	S3
S1-570053103	S3-267516505	S3
S1-736469556	S2-530061167	S2
S1-736469556	S2-21907891	S2
S1-736469556	S2-153022216	S2
S1-736469556	S3-369430171	S3
S1-736469556	S3-265204232	S3
S1-736469556	S3-332250323	S3
S1-483126440	S2-51615186	S2
S1-483126440	S2-933865098	S2
S1-483126440	S2-577684356	S2
S1-483126440	S3-339481146	S3
S1-483126440	S3-763988006	S3
S1-483126440	S3-74648608	S3
S1-270951405	S2-192345572	S2
S1-270951405	S2-778895506	S2
S1-270951405	S2-440207111	S2
S1-270951405	S3-328218942	S3
S1-270951405	S3-773911112	S3
S1-270951405	S3-219206801	S3
S1-520799361	S2-439055696	S2
S1-520799361	S2-436667917	S2
S1-520799361	S2-369987552	S2
S1-520799361	S3-578512303	S3
S1-520799361	S3-691294985	S3
S1-520799361	S3-892319511	S3
S1-81033582	S2-247144607	S2
S1-81033582	S2-160823657	S2
S1-81033582	S2-742018880	S2
S1-81033582	S3-943929303	S3
S1-81033582	S3-989976791	S3
S1-81033582	S3-907381535	S3
S1-56410032	S2-583840796	S2
S1-56410032	S2-85144335	S2
S1-56410032	S2-127755733	S2
S1-56410032	S3-526395226	S3
S1-56410032	S3-632480656	S3
S1-56410032	S3-288440193	S3
S1-518847572	S2-317480348	S2
S1-518847572	S2-891600450	S2
S1-518847572	S2-590554293	S2
S1-518847572	S3-472074707	S3
S1-518847572	S3-482581656	S3
S1-518847572	S3-122077614	S3
S1-776267063	S2-336821634	S2
S1-776267063	S2-11497933	S2
S1-776267063	S2-501534718	S2
S1-776267063	S3-945426231	S3
S1-776267063	S3-2045650	S3
S1-776267063	S3-485517879	S3
S1-35309228	S2-697514180	S2
S1-35309228	S2-37424835	S2
S1-35309228	S2-158121477	S2
S1-35309228	S3-819001322	S3
S1-35309228	S3-693984318	S3
S1-35309228	S3-746507879	S3
S1-493139457	S2-594115095	S2
S1-493139457	S2-575952928	S2
S1-493139457	S2-20798878	S2
S1-493139457	S3-995796854	S3
S1-493139457	S3-831127676	S3
S1-493139457	S3-477050170	S3
S1-895087526	S2-934716922	S2
S1-895087526	S2-298281864	S2
S1-895087526	S2-459485143	S2
S1-895087526	S3-111562263	S3
S1-895087526	S3-807090678	S3
S1-895087526	S3-84748082	S3
S1-829126727	S2-198008021	S2
S1-829126727	S2-369987552	S2
S1-829126727	S2-903065910	S2
S1-829126727	S3-818722089	S3
S1-829126727	S3-74648608	S3
S1-829126727	S3-46662325	S3
S1-457973373	S2-823489243	S2
S1-457973373	S2-322554268	S2
S1-457973373	S2-238118051	S2
S1-457973373	S3-36348173	S3
S1-457973373	S3-70211138	S3
S1-457973373	S3-743729368	S3
S1-74852342	S2-984790670	S2
S1-74852342	S2-510842397	S2
S1-74852342	S2-682305910	S2
S1-74852342	S3-275013845	S3
S1-74852342	S3-150322987	S3
S1-74852342	S3-717745791	S3
S1-280936763	S2-440207111	S2
S1-280936763	S2-85144335	S2
S1-280936763	S2-968505057	S2
S1-280936763	S3-907381535	S3
S1-280936763	S3-78681427	S3
S1-280936763	S3-82573141	S3
S1-999165514	S2-440948455	S2
S1-999165514	S2-786671109	S2
S1-999165514	S2-112287031	S2
S1-999165514	S3-966230926	S3
S1-999165514	S3-945426231	S3
S1-999165514	S3-380741339	S3
S1-395055615	S2-506313032	S2
S1-395055615	S2-600460285	S2
S1-395055615	S2-336821634	S2
S1-395055615	S3-966021760	S3
S1-395055615	S3-623589664	S3
S1-395055615	S3-958955314	S3
S1-862701045	S2-436667917	S2
S1-862701045	S2-336821634	S2
S1-862701045	S2-223826524	S2
S1-862701045	S3-62187351	S3
S1-862701045	S3-332250323	S3
S1-862701045	S3-96795509	S3
S1-674871004	S2-410411373	S2
S1-674871004	S2-809665812	S2
S1-674871004	S2-11497933	S2
S1-674871004	S3-775447058	S3
S1-674871004	S3-962607637	S3
S1-674871004	S3-10300249	S3
S1-287307821	S2-269204507	S2
S1-287307821	S2-85084966	S2
S1-287307821	S2-182986806	S2
S1-287307821	S3-179214561	S3
S1-287307821	S3-356347371	S3
S1-287307821	S3-273272215	S3
S1-273768056	S2-541548865	S2
S1-273768056	S2-52929474	S2
S1-273768056	S2-968505057	S2
S1-273768056	S3-733735582	S3
S1-273768056	S3-967822899	S3
S1-273768056	S3-811459169	S3
S1-323395452	S2-182986806	S2
S1-323395452	S2-127971493	S2
S1-323395452	S2-385507714	S2
S1-323395452	S3-573605691	S3
S1-323395452	S3-630998672	S3
S1-323395452	S3-369430171	S3
S1-4144001	S2-627682672	S2
S1-4144001	S2-340420883	S2
S1-4144001	S2-930022210	S2
S1-4144001	S3-651489735	S3
S1-4144001	S3-712130770	S3
S1-4144001	S3-662721327	S3
S1-512210875	S2-341862186	S2
S1-512210875	S2-305637735	S2
S1-512210875	S2-888162848	S2
S1-512210875	S3-937140604	S3
S1-512210875	S3-995796854	S3
S1-512210875	S3-780090761	S3
S1-143287441	S2-51615186	S2
S1-143287441	S2-424031278	S2
S1-143287441	S2-158086966	S2
S1-143287441	S3-316083080	S3
S1-143287441	S3-267516505	S3
S1-143287441	S3-935965425	S3
